"","Station_ID","2014","2015","2016","status","Analyte"
"1","10393",6,6,3,1,"pH"
"2","10596",6,6,5,1,"pH"
"3","11486",6,6,3,1,"pH"
"4","13570",8,8,7,1,"pH"
"5","13574",6,6,3,1,"pH"
"6","33922",6,6,3,1,"pH"
"7","10393",6,6,3,1,"Temperature"
"8","10596",6,6,4,1,"Temperature"
"9","11486",6,6,3,1,"Temperature"
"10","13570",7,7,5,1,"Temperature"
"11","13574",6,6,3,1,"Temperature"
"12","29316",7,5,1,1,"Temperature"
"13","31450",15,13,2,1,"Temperature"
"14","31561",7,5,1,1,"Temperature"
"15","33922",6,6,3,1,"Temperature"
"16","10393",6,6,3,1,"E. coli"
"17","10596",5,6,4,1,"E. coli"
"18","11486",6,6,3,1,"E. coli"
"19","13570",7,7,5,1,"E. coli"
"20","13574",6,6,3,1,"E. coli"
"21","33922",6,6,3,1,"E. coli"
"22","31450",15,13,2,1,"Enterococcus"
"23","31561",7,5,1,1,"Enterococcus"
